시도,시군구,월,대중교통,PM25,PM10,SO2,O3,NO2,CO,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃),강수량(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),일조합(hr),일조율(%),평균습도(%rh),최저습도(%rh),자동차등록수,공원면적,계절
강원특별자치도,강릉,201801,0.30564179277502973,50.943396226415096,33.6734693877551,21.465968586387437,35.593220338983045,40.90909090909092,40.0,18.23204419889503,15.072463768115943,17.857142857142858,22.278481012658226,19.415448851774535,0.26388009288579267,0.4023605150214592,63.636363636363626,24.0,67.64705882352942,34.2391304347826,73.52941176470588,65.55354993983154,86.14491933201244,0.0,15.517241379310345,2.88822292799827,1.7543467884162358,겨울
강원특별자치도,강릉,201802,0.09589858868015108,43.39622641509434,37.755102040816325,21.465968586387437,40.67796610169491,20.454545454545453,40.0,20.165745856353592,17.391304347826086,13.988095238095235,22.53164556962025,26.722338204592905,5.488705932024488,13.948497854077251,56.81818181818181,30.8,67.64705882352942,35.869565217391305,73.52941176470588,65.16245487364621,87.07896971412396,9.375,13.793103448275861,2.891649127042203,1.7543467884162358,겨울
강원특별자치도,강릉,201803,0.36687399472513316,47.16981132075472,37.755102040816325,21.465968586387437,54.23728813559322,29.545454545454547,30.000000000000004,44.19889502762431,42.89855072463769,57.44047619047619,42.531645569620245,42.79749478079332,9.921891492505805,9.656652360515022,50.0,27.6,94.11764705882352,32.6086956521739,52.94117647058824,61.1612515042118,62.62383243702235,29.6875,15.517241379310345,2.9000417430489023,1.7543467884162358,봄
강원특별자치도,강릉,201804,0.3499711220958543,45.28301886792453,50.0,5.759162303664922,64.40677966101694,29.545454545454547,20.0,58.839779005524875,59.42028985507246,76.78571428571428,55.44303797468354,52.19206680584551,15.980578425163609,14.082618025751072,52.27272727272726,42.4,61.76470588235294,45.92391304347825,61.76470588235294,70.69795427196149,68.93574865553353,25.0,6.896551724137931,2.9146895297871858,1.7543467884162358,봄
강원특별자치도,강릉,201805,0.3681570900084969,39.62264150943396,47.95918367346938,5.759162303664922,67.79661016949152,25.0,20.0,66.57458563535913,65.21739130434783,76.19047619047619,65.31645569620252,59.91649269311065,17.19442685243825,18.508583690987123,38.63636363636363,22.4,61.76470588235294,30.434782608695656,61.76470588235294,60.46931407942239,49.12255873195584,54.6875,24.137931034482758,2.9230507127751335,1.7543467884162358,봄
강원특별자치도,강릉,201806,0.3535002241443949,33.9622641509434,37.755102040816325,5.759162303664922,71.1864406779661,25.0,20.0,82.8729281767956,81.44927536231884,83.33333333333333,81.0126582278481,77.24425887265136,4.0743086341566395,5.767167381974249,34.090909090909086,21.200000000000003,94.11764705882352,26.630434782608692,94.11764705882352,68.56197352587245,57.42994622134162,45.3125,31.03448275862069,2.9306260702942883,1.7543467884162358,여름
강원특별자치도,강릉,201807,0.33186225003714764,32.075471698113205,32.6530612244898,5.759162303664922,45.76271186440678,20.454545454545453,10.0,92.81767955801106,89.85507246376811,91.36904761904762,92.65822784810125,82.25469728601253,20.63542326366899,12.607296137339056,31.818181818181813,16.4,26.47058823529412,18.20652173913043,61.76470588235294,63.68832731648617,51.18879139541465,62.5,44.827586206896555,2.942004823082397,1.7543467884162358,여름
강원특별자치도,강릉,201808,0.34740571822151384,24.528301886792452,31.63265306122449,5.759162303664922,32.20338983050848,18.181818181818183,20.0,91.16022099447515,88.9855072463768,94.3452380952381,90.126582278481,87.05636743215031,44.236858771374294,53.648068669527895,27.27272727272727,11.2,94.11764705882352,17.391304347826086,67.64705882352942,52.73766546329723,43.48995188225303,70.3125,56.896551724137936,2.948354292870237,1.7543467884162358,여름
강원특별자치도,강릉,201809,0.3289310342028046,32.075471698113205,24.489795918367346,10.994764397905762,35.593220338983045,22.72727272727273,20.0,74.03314917127074,71.59420289855072,67.26190476190477,73.92405063291139,74.32150313152401,17.014988389275914,9.92489270386266,31.818181818181813,14.800000000000002,61.76470588235294,23.641304347826082,47.05882352941176,51.44404332129964,49.8301726577979,62.5,50.0,2.9539493702080364,1.7543467884162358,가을
강원특별자치도,강릉,201810,0.3443777392235573,26.41509433962264,24.489795918367346,10.994764397905762,45.76271186440678,9.090909090909092,10.0,57.73480662983425,55.94202898550725,57.738095238095234,58.48101265822785,58.037578288100214,26.176905214270636,38.7607296137339,47.72727272727273,24.4,61.76470588235294,31.793478260869563,94.11764705882352,69.52466907340555,79.13954146617603,39.0625,31.03448275862069,2.960393139052131,1.7543467884162358,가을
강원특별자치도,강릉,201811,0.33749890099073526,35.84905660377358,46.93877551020408,10.994764397905762,37.28813559322033,36.36363636363637,20.0,46.40883977900553,44.05797101449276,44.94047619047619,48.860759493670884,49.06054279749478,5.414819506016466,8.315450643776824,38.63636363636363,20.799999999999997,61.76470588235294,30.434782608695656,79.41176470588235,53.51985559566788,68.22813472969148,32.8125,24.137931034482758,2.9744436984341327,1.7543467884162358,가을
